elapsed_days,departure_time_unix,arrival_time_unix,duration_in_seconds,total_distance,duration_hours,duration_minutes,departure_year,departure_month,departure_day,departure_hour,departure_minute,departure_second,departure_timezone,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute,arrival_second,arrival_timezone,flight_id
0,1657994040,1658004780,10740,1193,4,24,2022,7,16,10,54,0,7.0,2022,7,16,15,53,0,5.0,13772
0,1658019000,1658030220,11220,1104,3,51,2022,7,16,20,50,0,4.0,2022,7,16,23,57,0,4.0,13773
0,1658079360,1658087100,7740,725,2,42,2022,7,17,12,36,0,5.0,2022,7,17,15,45,0,4.0,13774
0,1658055660,1658060640,4980,327,2,28,2022,7,17,7,1,0,4.0,2022,7,17,8,24,0,4.0,13775
0,1658070900,1658078880,7980,652,3,58,2022,7,17,11,15,0,4.0,2022,7,17,13,28,0,4.0,13776
0,1658061960,1658073000,11040,1142,3,47,2022,7,17,8,46,0,4.0,2022,7,17,9,50,0,6.0,13777
0,1658153100,1658162880,9780,947,4,40,2022,7,18,10,5,0,4.0,2022,7,18,12,48,0,4.0,13778
1,1658224800,1658231340,6540,485,3,55,2022,7,19,6,0,0,4.0,2022,7,19,7,49,0,4.0,13779
1,1658227800,1658233380,5580,327,5,38,2022,7,19,6,50,0,4.0,2022,7,19,8,23,0,4.0,13780
1,1658196000,1658200680,4680,221,4,44,2022,7,18,22,0,0,4.0,2022,7,18,23,18,0,4.0,13781
0,1658265120,1658281140,16020,1621,4,27,2022,7,19,17,12,0,4.0,2022,7,19,19,39,0,6.0,13782
0,1658272680,1658278560,5880,505,2,35,2022,7,19,19,18,0,4.0,2022,7,19,20,56,0,4.0,13783
0,1658241300,1658258880,17580,2121,7,45,2022,7,19,7,35,0,7.0,2022,7,19,15,28,0,4.0,13784
0,1658260980,1658271600,10620,1104,2,57,2022,7,19,16,3,0,4.0,2022,7,19,19,0,0,4.0,13785
0,1658332800,1658339760,6960,545,2,47,2022,7,20,12,0,0,4.0,2022,7,20,13,56,0,4.0,13786
1,1658370300,1658386740,16440,1723,9,5,2022,7,20,21,25,0,5.0,2022,7,20,23,59,0,7.0,13787
0,1658415600,1658434740,19140,2178,8,58,2022,7,21,11,0,0,4.0,2022,7,21,13,19,0,7.0,13788
0,1658453100,1658460600,7500,672,3,31,2022,7,21,18,25,0,7.0,2022,7,21,20,30,0,7.0,13789
0,1658518200,1658524620,6420,406,2,16,2022,7,22,15,30,0,4.0,2022,7,22,17,17,0,4.0,13790
0,1658528640,1658536680,8040,594,2,51,2022,7,22,18,24,0,4.0,2022,7,22,19,38,0,5.0,13791
0,1658514660,1658528700,14040,1503,4,39,2022,7,22,14,31,0,4.0,2022,7,22,17,25,0,5.0,13792
0,1658532960,1658541000,8040,693,2,39,2022,7,22,18,36,0,5.0,2022,7,22,19,50,0,6.0,13793
0,1658615700,1658623500,7800,679,3,17,2022,7,23,15,35,0,7.0,2022,7,23,17,45,0,7.0,13794
0,1658608800,1658630580,21780,2414,8,25,2022,7,23,16,40,0,4.0,2022,7,23,19,43,0,7.0,13795
0,1658591040,1658597640,6600,485,2,33,2022,7,23,11,44,0,4.0,2022,7,23,13,34,0,4.0,13796
0,1658666700,1658674800,8100,762,2,15,2022,7,24,8,45,0,4.0,2022,7,24,11,0,0,4.0,13797
0,1658679120,1658693040,13920,1621,3,52,2022,7,24,10,12,0,6.0,2022,7,24,16,4,0,4.0,13798
